Vendor,"109919.jpg (Success rate)","109919.jpg (Faces detected)","109919.jpg (Faces expected)","109919.jpg (Time)","1116302.jpg (Success rate)","1116302.jpg (Faces detected)","1116302.jpg (Faces expected)","1116302.jpg (Time)","1117256.jpg (Success rate)","1117256.jpg (Faces detected)","1117256.jpg (Faces expected)","1117256.jpg (Time)","1181562.jpg (Success rate)","1181562.jpg (Faces detected)","1181562.jpg (Faces expected)","1181562.jpg (Time)","1185440.jpg (Success rate)","1185440.jpg (Faces detected)","1185440.jpg (Faces expected)","1185440.jpg (Time)","163087.jpg (Success rate)","163087.jpg (Faces detected)","163087.jpg (Faces expected)","163087.jpg (Time)","167637.jpg (Success rate)","167637.jpg (Faces detected)","167637.jpg (Faces expected)","167637.jpg (Time)","211050.jpg (Success rate)","211050.jpg (Faces detected)","211050.jpg (Faces expected)","211050.jpg (Time)","233129.jpg (Success rate)","233129.jpg (Faces detected)","233129.jpg (Faces expected)","233129.jpg (Time)","267885.jpg (Success rate)","267885.jpg (Faces detected)","267885.jpg (Faces expected)","267885.jpg (Time)","280002.jpg (Success rate)","280002.jpg (Faces detected)","280002.jpg (Faces expected)","280002.jpg (Time)","307847.jpg (Success rate)","307847.jpg (Faces detected)","307847.jpg (Faces expected)","307847.jpg (Time)","325521.jpg (Success rate)","325521.jpg (Faces detected)","325521.jpg (Faces expected)","325521.jpg (Time)","34692.jpg (Success rate)","34692.jpg (Faces detected)","34692.jpg (Faces expected)","34692.jpg (Time)","356147.jpg (Success rate)","356147.jpg (Faces detected)","356147.jpg (Faces expected)","356147.jpg (Time)","403448.jpg (Success rate)","403448.jpg (Faces detected)","403448.jpg (Faces expected)","403448.jpg (Time)","428364.jpg (Success rate)","428364.jpg (Faces detected)","428364.jpg (Faces expected)","428364.jpg (Time)","546162.jpg (Success rate)","546162.jpg (Faces detected)","546162.jpg (Faces expected)","546162.jpg (Time)","687501.jpg (Success rate)","687501.jpg (Faces detected)","687501.jpg (Faces expected)","687501.jpg (Time)","708392.jpg (Success rate)","708392.jpg (Faces detected)","708392.jpg (Faces expected)","708392.jpg (Time)","711009.jpg (Success rate)","711009.jpg (Faces detected)","711009.jpg (Faces expected)","711009.jpg (Time)","745045.jpg (Success rate)","745045.jpg (Faces detected)","745045.jpg (Faces expected)","745045.jpg (Time)","761963.jpg (Success rate)","761963.jpg (Faces detected)","761963.jpg (Faces expected)","761963.jpg (Time)","787961.jpg (Success rate)","787961.jpg (Faces detected)","787961.jpg (Faces expected)","787961.jpg (Time)","837306.jpg (Success rate)","837306.jpg (Faces detected)","837306.jpg (Faces expected)","837306.jpg (Time)","840996.jpg (Success rate)","840996.jpg (Faces detected)","840996.jpg (Faces expected)","840996.jpg (Time)","889545.jpg (Success rate)","889545.jpg (Faces detected)","889545.jpg (Faces expected)","889545.jpg (Time)","914181.jpg (Success rate)","914181.jpg (Faces detected)","914181.jpg (Faces expected)","914181.jpg (Time)","923657.jpg (Success rate)","923657.jpg (Faces detected)","923657.jpg (Faces expected)","923657.jpg (Time)","933964.jpg (Success rate)","933964.jpg (Faces detected)","933964.jpg (Faces expected)","933964.jpg (Time)","948199.jpg (Success rate)","948199.jpg (Faces detected)","948199.jpg (Faces expected)","948199.jpg (Time)","9746.jpg (Success rate)","9746.jpg (Faces detected)","9746.jpg (Faces expected)","9746.jpg (Time)","9816.jpg (Success rate)","9816.jpg (Faces detected)","9816.jpg (Faces expected)","9816.jpg (Time)","Total success rate","Total faces detected","Total faces expected","Total processing time (ms)","Average processing time (ms)"
Amazon,100.00,15,15,2672,14.29,1,7,1779,42.86,6,14,1180,100.00,2,2,1496,28.57,2,7,2297,0.00,0,2,1174,50.00,1,2,1299,33.33,1,3,1846,60.00,9,15,2358,42.86,6,14,1905,44.44,4,9,2288,28.57,2,7,1722,0.00,0,2,2162,100.00,10,10,2721,0.00,0,1,1177,0.00,0,1,1192,100.00,1,1,1493,100.00,2,2,1491,0.00,0,1,1180,75.00,3,4,1491,0.00,0,2,1794,75.00,3,4,2761,0.00,0,1,1434,50.00,2,4,1495,100.00,1,1,1485,0.00,0,1,1492,45.45,10,22,1491,0.00,0,4,1379,80.00,4,5,2018,100.00,3,3,1673,50.00,3,6,2210,66.67,4,6,1393,40.00,4,10,1459,52.66,99,188,57007,1727.4848484848
Google,66.67,10,15,3058,14.29,1,7,1397,35.71,5,14,1230,100.00,2,2,1112,57.14,4,7,1509,0.00,0,2,836,50.00,1,2,883,33.33,1,3,1798,26.67,4,15,1688,0.00,0,14,936,44.44,4,9,1852,14.29,1,7,1762,0.00,0,2,861,80.00,8,10,2177,0.00,0,1,311,0.00,0,1,403,100.00,1,1,933,100.00,2,2,1087,0.00,0,1,653,75.00,3,4,1224,0.00,0,2,1062,75.00,3,4,2219,0.00,0,1,433,75.00,3,4,1620,100.00,1,1,980,100.00,1,1,940,18.18,4,22,1334,25.00,1,4,856,80.00,4,5,2129,100.00,3,3,2093,50.00,3,6,2087,50.00,3,6,1478,30.00,3,10,1036,40.43,76,188,43977,1332.6363636364
IBM,53.33,8,15,2916,71.43,5,7,1793,35.71,5,14,3023,100.00,2,2,2322,42.86,3,7,3733,50.00,1,2,1643,50.00,1,2,1912,66.67,2,3,2133,0.00,0,15,2402,0.00,0,14,2095,55.56,5,9,1796,14.29,1,7,2094,0.00,0,2,1630,60.00,6,10,2261,100.00,1,1,1796,100.00,1,1,1806,100.00,1,1,1800,100.00,2,2,1798,100.00,1,1,1639,75.00,3,4,2254,50.00,1,2,1736,75.00,3,4,2163,100.00,1,1,1477,75.00,3,4,1908,100.00,1,1,1683,100.00,1,1,1780,0.00,0,22,1685,25.00,1,4,4384,80.00,4,5,2409,100.00,3,3,2157,66.67,4,6,3193,66.67,4,6,2480,0.00,0,10,2103,39.36,74,188,72004,2181.9393939394
Microsoft,53.33,8,15,1231,0.00,0,7,2712,14.29,2,14,670,0.00,0,2,511,42.86,3,7,833,0.00,0,2,528,0.00,0,2,560,33.33,1,3,674,13.33,2,15,814,7.14,1,14,1069,22.22,2,9,829,14.29,1,7,895,0.00,0,2,1638,80.00,8,10,15357,0.00,0,1,1179,0.00,0,1,6414,100.00,1,1,595,100.00,2,2,700,0.00,0,1,515,50.00,2,4,735,0.00,0,2,144,0.00,0,4,148,0.00,0,1,158,0.00,0,4,165,0.00,0,1,158,0.00,0,1,148,0.00,0,22,154,0.00,0,4,151,0.00,0,5,150,0.00,0,3,139,0.00,0,6,146,0.00,0,6,153,0.00,0,10,144,17.55,33,188,40417,1224.7575757576
"Ageitgey - Face Recognition",26.67,4,15,1945,14.29,1,7,1937,7.14,1,14,1859,50.00,1,2,1940,28.57,2,7,1956,0.00,0,2,1945,0.00,0,2,1936,33.33,1,3,1975,6.67,1,15,1925,0.00,0,14,1956,11.11,1,9,1959,0.00,0,7,1955,0.00,0,2,1926,70.00,7,10,1943,0.00,0,1,1883,0.00,0,1,1938,0.00,0,1,1934,100.00,2,2,1927,0.00,0,1,1927,25.00,1,4,1924,0.00,0,2,1929,75.00,3,4,1936,0.00,0,1,1930,50.00,2,4,1923,0.00,0,1,1924,0.00,0,1,1927,0.00,0,22,1883,0.00,0,4,1899,60.00,3,5,1967,66.67,2,3,1938,16.67,1,6,1948,66.67,4,6,1928,0.00,0,10,1808,19.68,37,188,63630,1928.1818181818
"Dlib - CNN",66.67,10,15,1931,14.29,1,7,2016,64.29,9,14,1765,100.00,2,2,2007,71.43,5,7,2021,50.00,1,2,2026,50.00,1,2,2039,33.33,1,3,2128,26.67,4,15,2025,42.86,6,14,2019,66.67,6,9,2119,14.29,1,7,2025,0.00,0,2,2023,80.00,8,10,2019,0.00,0,1,1892,100.00,1,1,2020,100.00,1,1,2018,100.00,2,2,2016,100.00,1,1,2027,75.00,3,4,2015,0.00,0,2,2022,75.00,3,4,2029,100.00,1,1,2025,75.00,3,4,2021,100.00,1,1,2038,100.00,1,1,2019,31.82,7,22,1883,25.00,1,4,1950,80.00,4,5,2132,100.00,3,3,2013,50.00,3,6,2069,100.00,6,6,2023,20.00,2,10,1667,52.13,98,188,66042,2001.2727272727
"Dlib - HOG",66.67,10,15,1543,14.29,1,7,1725,21.43,3,14,1397,50.00,1,2,1724,28.57,2,7,1742,0.00,0,2,1731,0.00,0,2,1727,33.33,1,3,1877,20.00,3,15,1733,0.00,0,14,1731,22.22,2,9,1849,0.00,0,7,1738,0.00,0,2,1735,70.00,7,10,1726,0.00,0,1,1531,0.00,0,1,1723,0.00,0,1,1737,100.00,2,2,1737,0.00,0,1,1726,25.00,1,4,1729,0.00,0,2,1722,75.00,3,4,1750,0.00,0,1,1730,50.00,2,4,1726,0.00,0,1,1731,0.00,0,1,1730,36.36,8,22,1533,0.00,0,4,1627,60.00,3,5,1878,100.00,3,3,1727,16.67,1,6,1784,66.67,4,6,1733,20.00,2,10,1271,31.38,59,188,56103,1700.0909090909
"OpenCV - Deep learning",73.33,11,15,776,14.29,1,7,894,14.29,2,14,717,100.00,2,2,919,14.29,1,7,894,0.00,0,2,915,0.00,0,2,900,33.33,1,3,1004,46.67,7,15,898,0.00,0,14,912,44.44,4,9,965,14.29,1,7,914,0.00,0,2,896,60.00,6,10,900,0.00,0,1,796,0.00,0,1,914,0.00,0,1,909,150.00,3,2,901,0.00,0,1,926,50.00,2,4,916,0.00,0,2,912,50.00,2,4,933,0.00,0,1,913,50.00,2,4,931,0.00,0,1,941,0.00,0,1,961,0.00,0,22,865,0.00,0,4,916,80.00,4,5,1043,66.67,2,3,942,0.00,0,6,969,66.67,4,6,935,10.00,1,10,659,29.79,56,188,29786,902.60606060606
"OpenCV - Haar",93.33,14,15,942,0.00,0,7,833,14.29,2,14,659,50.00,1,2,766,42.86,3,7,753,0.00,0,2,741,0.00,0,2,689,66.67,2,3,881,73.33,11,15,988,14.29,2,14,744,22.22,2,9,886,28.57,2,7,978,0.00,0,2,759,70.00,7,10,905,0.00,0,1,537,0.00,0,1,602,0.00,0,1,605,100.00,2,2,791,0.00,0,1,589,25.00,1,4,725,50.00,1,2,731,100.00,4,4,1005,0.00,0,1,633,50.00,2,4,793,0.00,0,1,651,0.00,0,1,787,50.00,11,22,712,0.00,0,4,720,60.00,3,5,972,66.67,2,3,872,16.67,1,6,824,66.67,4,6,896,40.00,4,10,740,43.09,81,188,25709,779.06060606061
"OpenCV - Haar (tweaked)",66.67,10,15,1423,0.00,0,7,1174,7.14,1,14,904,50.00,1,2,1037,42.86,3,7,1055,0.00,0,2,965,0.00,0,2,911,33.33,1,3,1299,66.67,10,15,1512,7.14,1,14,993,11.11,1,9,1268,0.00,0,7,1386,0.00,0,2,1086,70.00,7,10,1320,0.00,0,1,625,0.00,0,1,729,0.00,0,1,734,50.00,1,2,1073,0.00,0,1,715,25.00,1,4,961,50.00,1,2,996,50.00,2,4,1481,0.00,0,1,786,50.00,2,4,1111,0.00,0,1,845,0.00,0,1,1091,36.36,8,22,948,0.00,0,4,952,60.00,3,5,1409,33.33,1,3,1223,16.67,1,6,1138,66.67,4,6,1262,20.00,2,10,1066,32.45,61,188,35478,1075.0909090909
"OpenCV - LBP",13.33,2,15,650,0.00,0,7,609,7.14,1,14,545,0.00,0,2,597,28.57,2,7,621,0.00,0,2,603,0.00,0,2,579,33.33,1,3,627,0.00,0,15,627,0.00,0,14,596,0.00,0,9,650,0.00,0,7,618,0.00,0,2,613,40.00,4,10,619,0.00,0,1,567,0.00,0,1,585,0.00,0,1,572,100.00,2,2,618,0.00,0,1,603,25.00,1,4,585,0.00,0,2,616,25.00,1,4,632,0.00,0,1,575,25.00,1,4,612,0.00,0,1,577,0.00,0,1,593,0.00,0,22,564,0.00,0,4,582,40.00,2,5,647,33.33,1,3,617,16.67,1,6,620,66.67,4,6,628,0.00,0,10,536,12.23,23,188,19883,602.51515151515
